annee,prix,nom,genre,pays
1978,Peace,Anwar Sadat,Male,Egypt
1978,Peace,Menachem Begin,Male,"Belarus, Israel, Russia"
1978,Physics,Robert Woodrow Wilson,Male,United States of America
1978,Physics,Arno Allan Penzias,Male,"Germany, United States of America"
1978,Physics,Pyotr Kapitsa,Male,Russia
1979,Chemestry,Georg Wittig,Male,Germany
1979,Chemestry,Herbert C. Brown,Male,United States of America
1979,Economics,Theodore Schultz,Male,United States of America
1979,Economics,Arthur Lewis,Male,"United Kingdom, Saint Lucia"
1979,Literature,Odysseas Elytis,Male,Greece
1979,Medicine,Allan McLeod Cormack,Male,"South Africa, United States of America"
1979,Medicine,Godfrey Hounsfield,Male,United Kingdom
1979,Peace,Mother Teresa,Female,"India, Macedonia"
1979,Physics,Sheldon Lee Glashow,Male,United States of America
1979,Physics,Steven Weinberg,Male,United States of America
1979,Physics,Abdus Salam,Male,Pakistan
1980,Chemestry,Paul Berg,Male,United States of America
1980,Chemestry,Walter Gilbert,Male,United States of America
1980,Economics,Lawrence Klein,Male,United States of America
1980,Literature,Czesław Miłosz,Male,"Lithuania, Poland, United States of America"
1980,Medicine,George Davis Snell,Male,United States of America
1980,Medicine,Jean Dausset,Male,France
1980,Medicine,Baruj Benacerraf,Male,"United States of America, Venezuela"
1980,Peace,Adolfo Pérez Esquivel,Male,Argentina
1980,Physics,James Cronin,Male,United States of America
1980,Physics,Val Logsdon Fitch,Male,United States of America
1981,Chemestry,Roald Hoffmann,Male,"Poland, Ukraine, United States of America"
1981,Chemestry,Kenichi Fukui,Male,Japan
1981,Economics,James Tobin,Male,United States of America
1981,Literature,Elias Canetti,Male,"Bulgaria, United Kingdom"
1981,Medicine,Roger Wolcott Sperry,Male,United States of America
1981,Medicine,David H. Hubel,Male,"Canada, United States of America"
1981,Medicine,Torsten Wiesel,Male,Sweden
1981,Physics,Arthur Leonard Schawlow,Male,United States of America
1981,Physics,Nicolaas Bloembergen,Male,"Netherlands, United States of America"
1981,Physics,Kai Siegbahn,Male,Sweden
1982,Chemestry,Aaron Klug,Male,"Lithuania, South Africa, United Kingdom"
1982,Economics,George Stigler,Male,United States of America
1982,Literature,Gabriel García Márquez,Male,Colombia
1982,Medicine,John Vane,Male,United Kingdom
1982,Medicine,Sune Bergström,Male,Sweden
